Address:,USB0::0x2A8D::0x0396::CN63257227::0::INSTR,,Analog Channels,,,
Model:,DSOX1204G,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,CN63257227,,-0.0080119125,-0.426419019699097,30.7698475420475,
Firmware Version:,02.12.2021071625,,-0.0080118625,-0.828429132699966,31.1718576550484,
Start Time:,2026-05-19 11:21:13.681,,-0.0080118125,-0.828429132699966,30.7698475420475,
,,,-0.0080117625,-0.828429132699966,30.3678374290466,
,,,-0.0080117125,-0.426419019699097,30.7698475420475,
,,,-0.0080116625,-0.426419019699097,30.3678374290466,
,,,-0.0080116125,-1.23043924570084,30.3678374290466,
,,,-0.0080115625,-0.426419019699097,30.3678374290466,
,,,-0.0080115125,-0.828429132699966,30.7698475420475,
,,,-0.0080114625,-0.426419019699097,31.5738677680492,
,,,-0.0080114125,-0.0244089066982269,31.1718576550484,
,,,-0.0080113625,-0.426419019699097,30.3678374290466,
,,,-0.0080113125,-0.426419019699097,30.7698475420475,
,,,-0.0080112625,-0.426419019699097,30.7698475420475,
,,,-0.0080112125,-0.828429132699966,31.1718576550484,
,,,-0.0080111625,-0.0244089066982269,30.7698475420475,
,,,-0.0080111125,-0.0244089066982269,30.3678374290466,
,,,-0.0080110625,-0.828429132699966,30.7698475420475,
,,,-0.0080110125,-0.426419019699097,31.1718576550484,
,,,-0.0080109625,-0.426419019699097,31.1718576550484,
,,,-0.0080109125,-0.426419019699097,30.3678374290466,
,,,-0.0080108625,-0.828429132699966,30.7698475420475,
,,,-0.0080108125,-0.426419019699097,30.3678374290466,
,,,-0.0080107625,-1.23043924570084,30.7698475420475,
,,,-0.0080107125,-0.828429132699966,30.7698475420475,
,,,-0.0080106625,-0.828429132699966,30.3678374290466,
,,,-0.0080106125,-1.23043924570084,30.7698475420475,
,,,-0.0080105625,-0.426419019699097,31.1718576550484,
,,,-0.0080105125,-0.426419019699097,31.1718576550484,
,,,-0.0080104625,-0.0244089066982269,30.7698475420475,
,,,-0.0080104125,-0.828429132699966,30.7698475420475,
,,,-0.0080103625,-0.828429132699966,30.3678374290466,
,,,-0.0080103125,-0.426419019699097,31.1718576550484,
,,,-0.0080102625,-0.426419019699097,31.9758778810501,
,,,-0.0080102125,-0.828429132699966,30.7698475420475,
,,,-0.0080101625,-0.426419019699097,31.1718576550484,
,,,-0.0080101125,-0.828429132699966,30.3678374290466,
,,,-0.0080100625,-0.828429132699966,30.7698475420475,
,,,-0.0080100125,-0.0244089066982269,30.7698475420475,
,,,-0.0080099625,-0.426419019699097,30.3678374290466,
,,,-0.0080099125,-0.828429132699966,31.1718576550484,
,,,-0.0080098625,-0.426419019699097,30.7698475420475,
,,,-0.0080098125,-0.828429132699966,31.1718576550484,
,,,-0.0080097625,-0.828429132699966,31.1718576550484,
,,,-0.0080097125,-0.0244089066982269,30.7698475420475,
,,,-0.0080096625,-0.828429132699966,30.7698475420475,
,,,-0.0080096125,-0.828429132699966,30.3678374290466,
,,,-0.0080095625,-0.828429132699966,30.7698475420475,
,,,-0.0080095125,-0.0244089066982269,30.3678374290466,
,,,-0.0080094625,-0.426419019699097,31.1718576550484,
,,,-0.0080094125,-0.426419019699097,30.7698475420475,
,,,-0.0080093625,-0.0244089066982269,30.3678374290466,
,,,-0.0080093125,-0.828429132699966,30.7698475420475,
,,,-0.0080092625,-0.828429132699966,30.7698475420475,
,,,-0.0080092125,-0.828429132699966,31.5738677680492,
,,,-0.0080091625,-0.426419019699097,30.7698475420475,
,,,-0.0080091125,-0.426419019699097,31.1718576550484,
,,,-0.0080090625,-0.426419019699097,31.1718576550484,
,,,-0.0080090125,-0.426419019699097,31.1718576550484,
,,,-0.0080089625,-0.828429132699966,30.7698475420475,
,,,-0.0080089125,-0.828429132699966,30.7698475420475,
,,,-0.0080088625,-0.828429132699966,30.7698475420475,
,,,-0.0080088125,-0.426419019699097,30.3678374290466,
,,,-0.0080087625,-0.828429132699966,30.7698475420475,
,,,-0.0080087125,0.377601206302643,29.9658273160458,
,,,-0.0080086625,-0.426419019699097,30.7698475420475,
